scenario_point,SGCT
"scenario_label=clustered,ber=0.0",8.0000
"scenario_label=clustered,ber=0.0001",8.0000
"scenario_label=clustered,ber=0.001",8.0000
"scenario_label=clustered,ber=1e-05",8.0000
"scenario_label=dispersed,ber=0.0",8.0000
"scenario_label=dispersed,ber=0.0001",8.0000
"scenario_label=dispersed,ber=0.001",8.0000
"scenario_label=dispersed,ber=1e-05",8.0000
"scenario_label=prefix80,ber=0.0",8.0000
"scenario_label=prefix80,ber=0.0001",8.0000
"scenario_label=prefix80,ber=0.001",8.0000
"scenario_label=prefix80,ber=1e-05",8.0000
"scenario_label=random,ber=0.0",8.0000
"scenario_label=random,ber=0.0001",8.0000
"scenario_label=random,ber=0.001",8.0000
"scenario_label=random,ber=1e-05",8.0000
"scenario_label=sequential,ber=0.0",8.0000
"scenario_label=sequential,ber=0.0001",8.0000
"scenario_label=sequential,ber=0.001",8.0000
"scenario_label=sequential,ber=1e-05",8.0000
